SalesOrderID,OrderDate,ShipDate,SalesOrderNumber,CustomerID
43659,12/20/2023,12/25/2023,SO43659,29825
43660,2/17/2024,2/20/2024,SO43660,29672
43661,8/12/2023,8/22/2023,SO43661,29734
43662,1/31/2024,2/2/2024,SO43662,29994
43664,3/20/2024,3/27/2024,SO43664,29898
43665,7/11/2023,7/25/2023,SO43665,29580
43668,6/28/2023,6/30/2023,SO43668,29734
43671,11/5/2023,11/6/2023,SO43671,29890
43673,7/14/2023,7/19/2023,SO43673,29890
43675,6/5/2023,6/15/2023,SO43675,29734
43677,2/11/2024,2/13/2024,SO43677,29890
43678,3/8/2024,3/15/2024,SO43678,29890
43681,2/26/2024,2/28/2024,SO43681,29661
51081,12/30/2023,1/7/2024,SO51081,29734
51083,9/30/2023,10/2/2023,SO51083,29874
51085,3/26/2024,3/29/2024,SO51085,29734
51090,3/18/2024,3/25/2024,SO51090,29734
51091,3/7/2024,3/11/2024,SO51091,29591
